"Area Code","Area Name","Population figures&#10; (mid-2016)3  rounded to 100","Household figures&#10; (mid-2016)4  rounded to 100 ","Total recorded crime (excluding fraud)","Violence against the person","Homicide","Violence with injury","Violence without injury","Stalking&#10;and harassment","Death or serious injury - unlawful driving","Sexual offences","Robbery","Theft offences","Burglary","Domestic burglary","Domestic burglary (households)","Non-domestic burglary","Vehicle offences","Theft from the person","Bicycle theft","Shoplifting","All other theft offences","Criminal damage and arson","Drug offences","Possession of weapons offences","Public order offences","Miscellaneous crimes against society","Region"
"E23000010","West Yorkshire","2295000","956600","113.298983671202","33.6262132220782","0.0104574024248102","11.1968279212645","14.339713075021","8.06222154442762","0.0169932789403166","3.35377610265683","1.26185989259376","45.4570211653468","11.7493273493753","8.04871406629557","19.3099353338783","3.7006132830797","10.9022777529657","1.89453273929478","1.14159976470845","8.14108778771473","11.6281957712879","14.3065979673424","2.33810089214714","0.761211751505975","9.28138037712008","2.91282230041067","Yorkshire and the Humber"
"E23000018","Derbyshire","1042900","450400","53.3502982442851","12.1253728652833","0.01150596824161","7.2497188229011","3.74423383195725","1.11032593531536","0.00958830686800833","1.89752592917885","0.574339581393699","26.1041654481527","6.05885110989446","3.94750593755903","9.14118997555392","2.11134517233543","6.08569836912489","0.55324530628408","0.904177337653185","6.28321749060586","6.2189758345902","7.88734122962365","1.97423238412291","0.412297195324358","1.42578123127284","0.949242379932824","East Midlands"
"E23000021","Leicestershire","1068900","426700","74.1396988384625","18.9591815351455","0.0177748173871393","6.381159441983","8.54594509639564","4.01056011256137","0.00374206681834511","1.86261375883128","0.74373578014609","36.2774667704466","8.67036881810562","5.68419949706622","14.2382445434904","2.9861693210394","9.41597563166088","0.639893425937014","1.75128727098551","6.21557298527122","9.58436863848641","9.04925308346306","1.40888815710693","0.639893425937014","3.81503712130284","1.3836292060831","East Midlands"
"E23000020","Lincolnshire","744800","321100","54.5064452592671","11.6982697623961","0.00939835743564475","5.70480296343636","4.63741808324528","1.33456675586155","0.0120836024172575","1.98036817393943","0.306117927903857","27.3948693024136","6.52111743784665","4.10439695439514","9.52149578120182","2.41672048345151","4.66024266558899","0.381304787389015","1.56549782428025","7.57373347063886","6.69297311666987","7.50794496858935","2.12939927041894","0.510196546506429","1.84342067987718","1.13585862722221","East Midlands"
"E23000022","Northamptonshire","732500","305300","75.1544128488966","21.8580876289504","0.00682638589286397","9.24156122175924","10.6437008841535","1.95917275125196","0.00682638589286397","2.61177524260975","1.33933691217991","34.3107807747129","8.24627415857968","4.83308121214769","11.5958359811584","3.41319294643198","9.82453457700983","0.746806616679318","1.21646196610836","6.55606101150656","7.72064244482915","9.53509581515239","1.59873957610874","0.67444692621496","1.89773527821618","1.32841469475133","East Midlands"
"E23000019","Nottinghamshire","1136300","480300","82.5513833957309","22.3988833561274","0.00616055099968141","10.1622689133316","7.74645284274225","4.47520026191143","0.00880078714240202","2.79865031128384","0.888879501382604","36.2768446009811","7.16208057648676","4.73482348261229","11.2009127286506","2.42725709387448","7.83534079288051","0.603733997968778","1.32275830750302","8.50244045827459","10.8504904678674","10.4368534721746","2.45805984887288","0.782389976959539","5.00324749045555","1.50757483749347","East Midlands"
"E23000015","Staffordshire","1120100","477600","74.7681657439721","26.1880975529623","0.00624950338767723","10.0206322890413","9.7992213118779","6.35395937287126","0.00803507578415644","3.01226063286042","0.714228958591683","27.0174959311269","5.59241274577288","3.59167887551793","8.42273195487777","2.00073387025495","4.91121687651606","0.33925875533105","1.0820568722664","6.9387343327182","8.1538163485223","9.78940066369726","1.7561104519373","0.543706794727919","3.93807992043489","1.80878483763344","West Midlands Region"
"E23000017","Warwickshire","559000","239100","74.788323962282","21.519130003882","0.0268340635180173","8.02517392945504","9.07885815692918","4.34890722748667","0.039356626493092","2.70129572748041","0.660117962543225","33.9558239756991","7.96256111457966","5.35786801576412","12.5265588141803","2.60469309881554","8.69781445497334","0.749564840936616","1.79788225570716","6.67989287841844","8.06810843108386","8.27562518895653","1.76747031705341","0.622550273618001","3.85337152118728","1.43293899186212","West Midlands Region"
"E23000016","West Mercia","1261100","534700","68.0280253928582","22.8031419142333","0.0126869139240466","8.34006004082015","9.35342729050337","5.08428075506168","0.0126869139240466","2.84662631170796","0.440077326740367","25.9677340061627","6.52900307816249","4.13672687135945","9.75751171294175","2.39227620680304","4.93838124493515","0.562188873259316","0.952311476423749","5.69008089493491","7.29576843844706","8.48516661882643","1.82850146930322","0.542365570252993","3.73391735427097","1.38049482136032","West Midlands Region"
"E23000014","West Midlands","2870600","1138200","79.3802304853667","19.1113134725702","0.0132378766306538","9.40272442468362","6.54891691525425","3.13458984006903","0.0118444159326903","2.1337366937567","2.52982789715285","39.3931339314299","9.61104679902918","6.80670714437751","17.1660509473","2.80433965465167","12.5373142647527","1.00991064084909","1.18792524501394","6.87359325787976","8.17334372390527","9.22958693296165","1.44397364826474","0.619741645419294","3.80101241887011","1.11790384494127","West Midlands Region"
