"Area Code","Area Name","Population figures
 (mid-2017)3  rounded to 100","Household figures
 (mid-2017)4  rounded to 100 ","Total recorded crime (excluding fraud)","Violence against the person","Homicide","Violence with injury","Violence without injury","Stalking
and harassment","Death or serious injury - unlawful driving","Sexual offences","Robbery","Theft offences","Burglary","Domestic burglary","Domestic burglary (households)","Non-domestic burglary","Vehicle offences","Theft from the person","Bicycle theft","Shoplifting","All other theft offences","Criminal damage and arson","Drug offences","Possession of weapons offences","Public order offences","Miscellaneous crimes against society","Region"
"E23000011","South Yorkshire","1393400","586100","102.43604878556384","31.374040597224866","1.3635270857479126E-2","10.255876622328115","9.4069015999913894","11.67825066651357","1.9376437534312441E-2","2.8067128591368875","1.1977508979543505","39.5135796533053","10.078618101180886","7.0810114500392913","16.833747338537972","2.9976066511415951","9.0473610368547011","1.4970092109842872","0.83462210564464334","7.7749749721015178","10.280994226539262","12.949919085432148","1.7869381281643697","0.98819831424993443","9.0653021827198046","2.753607067376179","Yorkshire and the Humber"
"E23000010","West Yorkshire","2307000","948000","126.38429846101165","44.287147789261972","1.690481505482145E-2","12.663006846450097","18.595730017099871","12.989399814047035","2.2106296610151125E-2","3.7121240033202794","1.6601395297427217","44.048746551309364","11.37260596393206","8.2985303647322226","20.195701569874284","3.0740755991998387","10.585881878688447","1.7966784205701256","1.068471002823971","8.1117104855366318","11.113398799758132","13.477905623451747","2.7320781869369122","1.0030190265860726","12.229116593376347","3.2340211570262265","Yorkshire and the Humber"
"E23000018","Derbyshire","1049000","450700","56.398474737845568","15.788369876072451","3.8131553860819832E-3","8.9513822688274534","4.4327931363203046","2.3984747378455671","1.9065776930409916E-3","1.9437559580552908","0.61010486177311729","24.550047664442324","5.9380362249761678","4.2535748331744516","9.9009681291785654","1.6844613918017159","5.2097235462345095","0.67302192564346996","0.98188751191611046","5.57769304099142","6.1696854146806483","7.5042897998093423","2.132507149666349","0.56530028598665394","2.121067683508103","1.1830314585319353","East Midlands"
"E23000021","Leicestershire","1083200","424700","80.46981885589895","23.381085756804211","9.2316838776026425E-3","6.3144717722802071","11.294042055859073","5.7522622241342063","1.1078020653123171E-2","2.173138384787662","0.94070858712770922","34.156307178742018","7.7684619830026236","5.4780812129694079","13.971919596712102","2.2903807700332153","8.6288549203951899","1.1373434537206455","1.9608096556028012","6.1363002734424761","8.5245368925782792","9.5086343939307216","1.7235553799484133","0.6831446069425956","6.1279917579526337","1.775252809662988","East Midlands"
"E23000020","Lincolnshire","751200","323100","64.675020734293525","19.731858658015287","6.6562740041881284E-3","7.6094524415878677","8.2804048612100303","3.8246950428064981","1.0650038406701005E-2","2.538702905197352","0.44463910347976693","25.653280012141042","5.7723208164319448","4.029708282135493","9.3696895032857359","1.7426125342964518","4.0337020465380053","0.37807636343788564","1.3818424832694554","7.3538515198270433","6.7334867826367102","8.0993542082961145","2.3669710358892981","0.69890877043975341","3.6835820339177099","1.4577240069171999","East Midlands"
"E23000022","Northamptonshire","741200","306600","79.103194915334271","25.597368623424703","1.6189765639650897E-2","9.7219542666103624","11.59726878653659","4.2592575103648231","2.6982942732751494E-3","2.8399547226220947","1.1022532106328984","33.135053675818831","7.9100496621060996","4.9904952584223885","12.064303815633695","2.9195544036837116","10.072732522136132","0.80274254629935682","1.2169307172470922","5.5368998487606058","7.5956983792695452","8.9300048974041051","2.1276050344774551","0.82837634189547071","3.0342319102979052","1.5083464987608084","East Midlands"
"E23000019","Nottinghamshire","1147100","477300","90.764214600805545","26.985510784091503","1.2205115687060833E-2","11.8572698899796","8.2602479382072431","6.8496852823740699","6.1025578435304163E-3","3.040817394033442","1.0679476226178231","37.422628284483814","6.951685177758792","4.7155336250937179","11.332044188477726","2.2361515526650741","7.9795302774048444","1.2213833626837307","1.6598957334402733","9.5749132564992241","10.035220476696948","10.573989154882918","2.8411765731522327","0.83169145467543104","5.9343016058445066","2.0661517270238696","East Midlands"
"E23000015","Staffordshire","1126200","478200","75.266182029349949","27.297920534752617","7.9914544713519664E-3","9.6661081527930577","9.5595554265083642","8.0527222889656649","1.1543212014175063E-2","2.8831391853866486","0.86307708290601248","26.699449388786924","5.3560503745772294","3.3954802109388802","7.9964868990610816","1.9605701636383495","5.0328404381803278","0.42976266268159469","1.0948292625752196","6.5831826056226097","8.2027840451499419","9.7415830005780482","1.6124979244416857","0.71123944795032501","3.7808459043351861","1.6764295602125017","West Midlands Region"
"E23000017","Warwickshire","564600","238900","73.161140849012156","22.730895809494797","1.0627707851396304E-2","7.8645038100332645","9.4019788792019305","5.4467002738406052","7.0851385675975362E-3","2.2690156262731107","0.79884937349662211","31.973459070925781","7.2888363014159649","5.3244816335495475","12.583829402456484","1.9643546678664168","8.6916937378002785","0.81833350455751541","1.2912665039446509","6.0613360445796918","7.8219929786276783","8.0062065813852161","1.4861078145535831","0.72976927246254608","3.8861985043272482","1.2806387960932546","West Midlands Region"
"E23000016","West Mercia","1272600","537500","66.439946001926714","23.416713943792342","1.1786541027377776E-2","7.6832532110466607","9.6358901745822454","6.0637824738849542","2.2001543251105184E-2","2.7156190527078401","0.45888933066590815","25.206696641150117","6.0174220791772681","4.2533697720797274","10.070810092763825","1.7640523070975407","4.4183813464630157","0.71583592506274374","0.88163326884785775","6.0606393962776535","7.1127846253215763","7.8867674861193837","1.5903972692941748","0.63568744607657479","3.338734188355212","1.1904406437651556","West Midlands Region"
