"Area Code","Area Name","Total recorded crime (excluding fraud)","Violence against the person","Homicide","Violence with injury","Violence without injury","Sexual offences","Robbery","Theft offences","Burglary","Domestic burglary","Non-domestic burglary","Vehicle offences","Theft from the person","Bicycle theft","Shoplifting","Other theft offences","Criminal damage and arson","Drug offences","Possession of weapons offences","Public order offences","Miscellaneous crimes","Region","Year"
"E23000009","North Yorkshire","38478","10368","6","4791","4251","1546","165","16602","3737","2084","1653","2250","398","1193","4638","4386","5894","1494","233","1413","763","Yorkshire and the Humber",2017
"E23000011","South Yorkshire","144980","38506","13","13879","12820","4097","1667","61758","15893","10571","5322","14141","2014","1448","12345","15917","20579","2155","1224","11717","3277","Yorkshire and the Humber",2017
"E23000010","West Yorkshire","260024","77173","24","25697","32910","7697","2896","104325","26965","18472","8493","25021","4348","2620","18684","26687","32834","5366","1747","21301","6685","Yorkshire and the Humber",2017
"E23000018","Derbyshire","55641","12646","12","7561","3905","1979","599","27225","6319","4117","2202","6347","577","943","6553","6486","8226","2059","430","1487","990","East Midlands",2017
"E23000021","Leicestershire","79250","20266","19","6821","9135","1991","795","38778","9268","6076","3192","10065","684","1872","6644","10245","9673","1506","684","4078","1479","East Midlands",2017
"E23000020","Lincolnshire","40597","8713","7","4249","3454","1475","228","20404","4857","3057","1800","3471","284","1166","5641","4985","5592","1586","380","1373","846","East Midlands",2017
"E23000022","Northamptonshire","55047","16010","5","6769","7796","1913","981","25131","6040","3540","2500","7196","547","891","4802","5655","6984","1171","494","1390","973","East Midlands",2017
"E23000019","Nottinghamshire","93800","25451","7","11547","8802","3180","1010","41220","8138","5380","2758","8903","686","1503","9661","12329","11859","2793","889","5685","1713","East Midlands",2017
"E23000015","Staffordshire","83747","29333","7","11224","10976","3374","800","30262","6264","4023","2241","5501","380","1212","7772","9133","10965","1967","609","4411","2026","West Midlands Region",2017
"E23000017","Warwickshire","41804","12029","15","4486","5075","1510","369","18979","4449","2994","1455","4862","419","1005","3734","4510","4626","988","348","2154","801","West Midlands Region",2017
"E23000016","West Mercia","85790","28758","16","10518","11796","3590","555","32746","8231","5216","3015","6228","709","1201","7176","9201","10701","2306","684","4709","1741","West Midlands Region",2017
"E23000026","Bedfordshire","46059","11653","2","4423","4653","1166","751","22595","5749","4167","1582","5906","679","1066","4056","5139","5727","969","379","2364","455","East",2017
"E23000023","Cambridgeshire","66364","16410","10","4924","9070","1776","665","31854","6457","4120","2337","6615","943","4407","5381","8051","8418","1473","486","4224","1058","East",2017
"E23000028","Essex","130757","39240","29","13610","16053","3560","1482","53305","12913","8641","4272","13960","1514","2543","9746","12629","15790","3182","1826","9650","2722","East",2017
"E23000027","Hertfordshire","81958","22885","8","8655","9724","2135","859","34361","6984","4609","2375","8122","1082","1589","7810","8774","10146","3209","585","6020","1758","East",2017
"E23000024","Norfolk","55643","18002","9","6475","8301","2361","413","18623","4023","2595","1428","2613","624","1464","4515","5384","7441","1982","389","4819","1613","East",2017
"E23000025","Suffolk","52524","16820","5","5420","7037","1974","360","18704","4172","2530","1642","3709","492","1246","4146","4939","7114","1509","378","4534","1131","East",2017
"E23000034","City of London","5338","839","2","353","356","81","47","3415","104","11","93","187","545","371","755","1453","241","304","49","221","141","London",2017
"E23000001","Metropolitan Police","809049","198791","129","77422","80823","19199","31290","398151","74774","53446","21328","102301","46977","20950","46916","106233","61046","35148","7240","48351","9833","London",2017
"E23000030","Hampshire","160808","53159","18","21335","24095","5490","1127","58141","12656","7315","5341","12480","1322","4197","13852","13634","19518","3669","1384","15361","2959","South East",2017
"E23000032","Kent","167340","61372","17","19090","30457","6031","1481","55774","11965","7563","4402","12153","1074","2071","12182","16329","22464","2612","917","12504","4185","South East",2017
"E23000031","Surrey","72897","21185","7","7115","9691","2076","345","27430","6863","4816","2047","5524","513","1391","4340","8799","9724","2397","516","7638","1586","South East",2017
"E23000033","Sussex","113079","34334","16","13210","15083","3996","982","42397","8302","4791","3511","7395","1747","2833","8634","13486","14307","3288","1338","9965","2472","South East",2017
"E23000029","Thames Valley","148173","32998","25","13245","16095","4676","1268","76871","12983","7934","5049","14969","3655","7199","17553","20512","19568","4629","1233","4534","2396","South East",2017
"E23000036","Avon and Somerset","139644","40234","13","11839","17051","4050","1326","54977","11739","7533","4206","12847","1139","3385","11937","13930","15792","2983","667","17699","1916","South West",2017
"E23000035","Devon and Cornwall","100637","35007","19","14041","13929","4371","518","32506","6199","2777","3422","5574","968","927","8020","10818","15105","3687","807","6572","2064","South West",2017
"E23000039","Dorset","48717","14329","4","5655","6327","1535","286","21364","4818","2557","2261","3855","596","1397","4334","6364","6696","1565","274","1917","751","South West",2017
"E23000037","Gloucestershire","34261","8223","4","4771","2266","998","307","17179","4106","2478","1628","4267","350","819","3762","3875","4508","1051","223","1304","468","South West",2017
