"Area Code","Area Name","Population &#10;figures&#10;       (mid-2015)3 - rounded to 100","Household figures       (mid-2015)4- rounded to 100 ","Total recorded crime (excluding fraud)","Violence against the person","Homicide","Violence with injury","Violence without injury","Sexual offences","Robbery","Theft offences","Burglary","Domestic burglary","Domestic burglary (households)","Non-domestic burglary","Vehicle offences","Theft from the person","Bicycle theft","Shoplifting","All other theft offences","Criminal damage and arson","Drug offences","Possession of weapons offences","Public order offences","Miscellaneous crimes against society","Region"
"E23000018","Derbyshire","1036600","446900","51.2089336842187","11.8423794346219","0.0125408058528906","6.84824467305154","4.98159395571745","1.57917686009091","0.539254651674294","24.6079551154912","6.14210083579648","2.67022696929239","6.19310033135772","3.47187386650409","5.7128194046783","0.516102394715111","0.781388672372412","5.8411214953271","5.61442231260177","7.74346527547327","2.05186877300755","0.429281431118177","1.34958364524568","1.0659684974957","East Midlands"
"E23000021","Leicestershire","1056000","422100","62.2330683666956","14.3193728680981","0.0104168442265114","4.89118185726651","9.41777416660511","1.48108585184217","0.617434766880496","31.7297075139538","7.7577079912347","4.12412332785976","10.3171181244877","3.63358466337494","7.78990550975301","0.819142750539309","1.75192380173147","6.14877905115807","7.46224840953728","8.81833213066132","1.11649630391427","0.451712245095087","2.52561123200964","1.1733154542407","East Midlands"
"E23000020","Lincolnshire","736700","318300","50.0145927931964","10.6235534469535","0.0176470987490922","5.3728628345313","5.23304351367311","1.57059178866921","0.287783456523657","25.0290159027509","7.19865882049507","2.42036746689472","5.60165127757235","4.77829135360035","4.06426258882939","0.386878703345483","1.44706209742556","5.98643888334589","5.94571480930952","7.30454141298962","1.94118086240014","0.471041789687307","1.79457419586922","0.992309937352799","East Midlands"
"E23000022","Northamptonshire","723000","301800","73.2338809392747","19.905231623759","0.00829845676365719","8.9830794466589","10.9138537203365","2.23090179329651","1.12444089147555","34.5381770503412","9.46300686282375","4.14646222957404","9.9346526516708","5.3165446332497","8.10482610583852","0.828462600238442","1.37201151825799","7.16710049154526","7.60276947163726","10.2375294940984","1.74959130100439","0.633448866292498","1.65692520047688","1.15763471853018","East Midlands"
"E23000019","Nottinghamshire","1124700","476100","67.9947259344085","17.6225984641907","0.0106690470496084","9.07224634118368","8.53968307595739","1.99600088553091","0.794844005195826","30.5917142402438","7.08424724093998","3.18737780607051","7.53035773925427","3.89686943486947","6.0973603888512","0.900645388437776","1.48299753989557","7.13136886540908","7.89509481671022","9.44833024968237","2.53034232526546","0.673039051379463","3.09935816791124","1.23849854500871","East Midlands"
"E23000015","Staffordshire","1114200","474600","67.6389549546315","23.1356746035308","0.00628247816838836","9.65078396352573","13.4786081618366","2.47529639834502","0.517855700451441","24.643469363944","5.40921370298238","2.484271367157","5.83176372929492","2.92494233582538","4.35555236445553","0.496315775302681","0.849929546494826","6.06438642625717","7.46807154845137","9.9909352814999","1.86589601601134","0.471185862629127","2.9177623607758","1.6208793674442","West Midlands Region"
"E23000017","Warwickshire","554000","237000","64.0268446684308","18.2941577828239","0.0144403810816567","7.54690416280086","10.7328132389414","2.2382590676568","0.485557813870708","28.954769116357","6.46929072458222","2.84836516835679","6.65690770184816","3.62092555622543","6.84113053743488","0.653427243944968","1.33754029768846","5.99997833942838","7.65340197327808","7.72740892632157","1.7815820159494","0.516243623669229","2.84656012072159","1.18230620106065","West Midlands Region"
"E23000016","West Mercia","1249200","530600","62.7530056490753","20.4445775040805","0.00960590955555858","8.10098372518774","12.3339878693372","2.37906359992667","0.458682181277922","24.7784436985634","6.50560224650205","2.36305375066741","5.56332427471364","4.14254849583464","4.48195730013104","0.572352111018699","0.851723980592861","5.60344724074251","6.7633608195762","7.91526947378027","1.98041835337099","0.506711729055715","3.08669893718616","1.20314017183371","West Midlands Region"
"E23000014","West Midlands","2833600","1127100","70.7633550339732","16.9723072449222","0.011999052780657","8.74977987031847","8.21052832182306","1.68974896217016","1.96960922261313","34.6765567094645","8.40004277309403","4.75374238104263","11.9510989776354","3.6463003920514","10.3029513787794","1.03438893235605","1.2306087366515","6.98415454497651","6.72441034360699","8.9188253491989","1.77233067836645","0.554426821129767","3.17657276702039","1.03297727908773","West Midlands Region"
"E23000026","Bedfordshire","655000","260200","64.6901298352326","15.6843525948725","0.0122140388162154","6.70092704554615","8.97121151051018","1.47026492250192","1.04430031878641","31.8068838322768","7.45056367789137","4.53598866537198","11.416604223106","2.91457501251939","8.5131850549021","0.795439277906025","1.52522809717489","6.25511462875429","7.26735309564814","8.50402452578994","1.80157072539177","0.415277319751322","3.26420187363355","0.699253722228329","East"
